id,comment,label
86,YAAR KAMAL!!! KA EFFORT HAII BRO,O
87,Aray acha laga dekh kar :) bro,O
88,BHAI BOHT ACCHA CONTENT HAII nice,O
89,Aray maza :) aagaya dekh! kar :) ok,O
90,Haye very helpful,O
91,Haye helpful for beginners,O
92,Mashallah gussa aa gaya video dehk kar bhai,H
93,Yaar nice explanation yaar yaar,O
94,Bhai achaa laga dekh kar :),O
95,Bhai nice explanation yaar bhai,O
96,great energy bro bro,O
97,Haye keep posting :),O
98,Haye ye sab jhoot!! hai,H
99,ARAY KEEP!!! IT UP YAAR,O
100,Mashallah tu kitna ghatiya insan hy bhai,H
101,Yaar ye sab anfrat failata hy,H
102,Bhai jhoot bolta hai tuu yaar,H
103,nais explanation yaar :),O
104,Mashallah dimagh kharab kar dia,H
105,Aray nalayak banda bhai,H
106,ye sab jhoot haii,H
107,KUCH BHI BOL DETA HAI TU :),H
108,Haye mujhe ye video pasand aaya bhai,O
109,Mashallah tujhe sharam nhi!! aati,H
110,best :) one on this topic bro,O
111,Aray proud of you bro bhai,O
112,Haye bohat mehnat ki hai yaar,O
113,Haye itna overacting!! kyu karta hai yaar,H
114,Yaar good luck for next project bhai,O
115,Yaar tu pagal hai kia bhai,H
116,Aray itna overacting kyu! akrta haii bro,H
117,Yaar koi sense nahi!!! hey video mein yaar,H
118,Mashallah tu sirf views ke liye kar raha :P hey bhai,H
119,Mashallah tumhara sense of humor best hy bro bro,O
120,nice try bhai,O
121,awesome!!! creativity bro,O
122,Yaar bakwas vidiyo :),H
123,bohat informative :) vidio hai!! :),O
124,Aray bhai!! tu kuch nahi jaanta!! yaar lol,H
125,Haye awesome creativity,O
126,tere comments :) irritate karte hain bhai,H
127,Aray great job :P bro :),O
128,Bhai appreciate yoooour effort,O
129,Aray keaa :) faltu insan!!! hai yaar nice,H
130,Aray itna irritating kontent,H
131,Mashallah mujhe!!! ye video pasand aaya bhai,O
132,Mashallah itna irritating content bhai,H
133,Bhai informative kontent,O
134,Aray ye!!! sab nafrat failata hai :) bro,H
135,Haye perfect explanation bhai,O
136,Haye cool video bhai,O
137,Aray mujhe ye video pasand aaya!!! yaar,O
138,Mashallah best :) one on this topic :),O
139,Yaar ye sab :) faltu conteeent hai,H
140,Mashallah very clean :) editing!!,O
141,POSITIVE VIBES ONLY BRO bro,O
142,BHAI KEEP POSTING! YAAR,O
143,Mashallah entertaining vidiyo,O
144,Aray perfect explanation,O
145,Bhai simple!!! aur samajhne layak video :),O
146,Bhai itna overacting kyu karta hai yaar,H
147,Mashallah great job bro :) bhai,O
148,Haye nice try :),O
149,Haye zyada smart mat ban yaar,H
150,Yaar proud of you bro bhai haha,O
151,tumhara! sense of humor best hai bro,O
152,Haye sahi kaha tumne bhai,O
153,Haye tumhara reply acha laga,O
154,Haye tere jaise log sab bigad dete hain,H
155,Haye good information di bhai,O
156,tumhara content unique hy :),O
157,Mashallah nalayak banda! yaar,H
158,Haye bakwas video :),H
159,Mashallah tuu samjhta keaa hai apne aap ko :),H
160,Mashallah awesome creativity bhai,O
161,Yaar kamal :P ka effort hai bhai,O
162,Haye itna overacting kyu karta!! hai bro,H
163,Yaar keep it :) up,O
164,Bhai tumhara!!! reply achaah laga :P yaar haha,O
165,Bhai ajeeb bekaar banda hey,H
166,Yaar ajeeb bekaar! banda hai ok,H
167,Yaar ganday jokes mat maaaar bro,H
168,gussa aa gaya vidiyo dekh kar bhai,H
169,Haye well!!! explained bhai,O
170,AISE KAAM SE KUCH NHI HOTA :),H
171,Mashallah tumhara :) reply acha laga ok,O
172,Yaar wow :) kya baat hai :) bro,O
173,YAAR DIMAGH KHARAB KAR DIA BRO,H
174,Bhai awesome creativity bro,O
175,yaar tu bohut funny hai yaar,O
176,tumhara reply accha laga,O
177,Yaar boht useful tips di :) bhai,O
178,great job bro,O
179,good! initiative bro,O
180,Bhai tere jaise log sab :) ibgad deete hain bro,H
181,clear aur easy steps!! bhai,O
182,Yaar faltu time waste,H
183,BHAI COOL VIDIO!!! :),O
184,Aray itna irritating content :P bhai,H
185,Haye positive vibes only bhai nice,O
186,BHAI TUM TOH! DRAAMA QUEEN NIKLA,H
187,Haye keep it up :) haha,O
188,Aray clear aur easy! steps! bro,O
189,bakwaas baatein mat kar yaar,H
190,MASHALLAH KEEP POSTING :),O
191,Bhai ajeeb bekaar banda haii bhai,H
192,Aray ganday jokes mat maar :),H
193,Aray nice message :) diya bro,O
194,Bhai nice tutorial :),O
195,gud information di bhai,O
196,respect for youuuur hard work yaar,O
197,Yaar kuch seekh le! pehle,H
198,tum jaise log hamesha problem banate! hain bhai bro,H
199,Yaar kamal ka effort haii bro,O
200,BHAI NALAYAK BANDA!! YAAR,H
201,Mashallah boht! useful tips di :),O
202,Haye diiil! khush kar diya :),O
203,Mashallah faltu!! content upload karte rehta!! hai bhai,H
204,BHAI TUU TOH DRAMA QUEEN NIKLA YAAR,H
205,Bhai koi sense nhi hai!!! vidiyo mein bhai,H
206,Mashallah very helpful :),O
207,Mashallah shukriya share :P karne ke liye bhai,O
208,Yaar kamal ka effort hai,O
209,Bhai ganday jokes!! mat maar bhai,H
210,Yaar boht acha content hai bhai,O
211,Yaar zyada smart mat ban yaar,H
212,ARAY ETNERTAINING VIDIO nice,O
213,Yaar mujhe ye video pasand aaya yaar,O
214,Bhai informative kontent bhai,O
215,HAYE TUMHARA ATTITUDE PASAND NAHI AAYA BRO,H
216,Aray kuch bhi bol deta :) hai tum :),H
217,helpful for beginners :),O
218,Bhai ganday jokes :) mat maar! bhai,H
219,wow kya baat hey :),O
220,Aray ganday jokes mat maar,H
221,great enregy bro yaar,O
222,Aray bohat mehnat! ki hai :),O
223,Yaar nice try bhai lol,O
224,Bhai ghatiya quality,H
225,badtameez aadmi bro,H
226,Yaar entertaining vidiyo :),O
227,Haye excellent work bro bro,O
228,MASHALLAH FALTU VIDEO :) BANAI HEY BRO,H
229,Aray faltu time waste yaar,H
230,ye sab nafrat!! failata :) haii yaar,H
231,Haye samajh!! nhi aata keaa kar raha :) hai yaar,H
232,Bhai zabardast editing bhai,O
233,Bhai good initiative!!! bro,O
234,Aray faltu harkatein band kar nice,H
235,Haye ajeeb bekaar banda hy yaar nice,H
236,Bhai awaaz irritate karti hai bro,H
237,Mashallah sahi!!! kaha tumne,O
238,boht acha!!! kontent hy yaar,O
239,Yaar nalayak banda,H
240,Mashallah koi sense nahi hey video mein :P,H
241,proud of :P you bro yaar bro,O
242,faltu time waste bro,H
243,Mashallah kuch!! bhi bol deta hai tuu :) haha,H
244,Haye koi sense nahi haii video mein! bhai,H
245,Aray tum toh drama :) queen nikla :) yaar,H
246,Aray tu toh upre time :P waste hai bhai,H
247,Aray tumhara content unique hai bhai,O
248,itna irritating :P content yaar,H
249,Mashallah entertaining video :),O
250,tera!! content!!! bakwas hai :),H
251,awesome cretaivity!!! yaar,O
252,Aray pagal insaan :),H
253,wow :) kya baat haii bhai,O
254,Bhai tumhara style alag hai yaar,O
255,Bhai faltu video banai hai :),H
256,Mashallah tumhara :P content inspire karta :) hai bro,O
257,simple aur samajhne layak vidiyo :),O
258,Aray bilkul useless vidiyo :),H
259,Aray niceee tutorial :),O
260,Mashallah tu toh drama queen nikla yaar,H
261,Mashallah appreciate yooour effort bhai bro,O
262,Haye tum jaise logon ki wajah se :P internet kharab hey bro,H
263,Haye tumhara kontent unique hai,O
264,boht acha content hy,O
265,faltu time waste :),H
266,Yaar good initiative bro,O
267,Yaar ghatiya! quality,H
268,boht!!! useful tips di bhai,O
269,BHAI NALAYAK! BANDA,H
270,Yaar good information :P di bro,O
271,tu :) samjhta! kya hai apne aap ko yaar,H
272,Yaar appreciate your effort bro,O
273,Aray keep!! posting :) bhai,O
274,Mashallah ye sab nafrat failata hai,H
275,Aray mujhe ye video pasand aaya :),O
276,Haye good initiiiiative :),O
277,Bhai dimagh ka dahi kar diya :) bro,H
278,YAAR BHAI TU KUCH NHI JAANTA BHAI,H
279,Bhai tumhara style alag hai bro,O
280,HAYE TUM :) JAISE LOG HAMESHA PROBLEM BANATE HAIN,H
281,Yaar good luck! for :) next project yaar,O
282,Haye pagal sa behaivour dikha raha hy bhai,H
283,Mashallah zyada smart mat ban :) yaar,H
284,Aray nais! try yaar,O
285,Yaar ye sab :) faltu content hai bro,H
286,Haye dimagh ka dahi kar diya :),H
287,Aray badtameez! aadmi bro,H
288,Mashallah gussa :P aa :) gaya vidiyo!! dekh kar bro bro,H
289,BHAI TUM JAISE LOGON KI WAJAH SE INTERNET KHARAB HAI YAAR,H
290,pagal :) insaan yaar,H
291,Yaar wow kya baat haii :),O
292,Aray ljaawab :) explanation bro ok,O
293,YAAR LAJAWAB EXPLANATION BHAI,O
294,tuu pagal hai keaa,H
295,Aray dimagh ka dahi kar diya :) bro,H
296,Haye pagal insaan yaar,H
297,Mashallah nalayak banda yaar,H
298,Yaar tera accent ajeeb hai bro,H
299,Bhai badtameez aadmi bro,H
300,Mashallah gussa aa gaya video dekh kar :) bhai,H
301,Bhai itna overacting kyu karta haii :),H
302,Aray shukriya share :) karne ke liye,O
303,Bhai nais try bhai,O
304,zabardast editing!! bhai,O
305,Haye wow keaa baat!! hey bhai,O
306,Bhai positive vibes only,O
307,Haye tum pagal hai :P keaa :),H
308,Bhai aise kaam se kuch!!! nahi :P hota bhai haha,H
309,Haye appreciate your effort,O
310,Bhai faltu kontent upload karte rehta hy,H
311,Mashallah aise!!! kama se kuch nahi hota bro,H
312,Haye good luck for next project yaar,O
313,aise kaam se :P kuch nai hota bro,H
314,Yaar faltu time waste bro bro,H
315,Haye tu toh drama queen nikla bhai,H
316,Bhai bohat informative :) video hey,O
317,bakwas editing yaar,H
318,Mashallah jhoot bolta haii tu,H
319,Mashallah zabardast editing :),O
320,Aray faltu time waste haha,H
321,Mashallah tumh jaise log hamesha problem banate :P hain bro,H
322,Aray bakwas editing bro,H
323,Bhai bakwaas baatein mat kar bro,H
324,Bhai ghatiya quality,H
325,dimagh kharab kar dia bhai,H
326,Aray tumhara sense!!! of humor best hey :),O
327,Bhai tu toh pure time waste hy bro,H
328,Haye boht useful!! tips di yaar,O
329,Haye tum toh pure time waste haii bhai,H
330,naiis presentation yaar,O
331,Mashallah koi sense nahi hai!! video mein!!! bro,H
332,Aray yaar :) tuu bohut funny! hai :) :),O
333,Aray mujhe ye video pasand :P aaya bhai,O
334,boht useful tips di!! bro,O
335,Yaar bilkul useless video,H
336,Yaar boht accha kontent hy bhai,O
337,Haye good initiative,O
338,Bhai bilkul useless vidio :),H
339,Bhai ye sab nafrat failata hey bro lol,H
340,Bhai yaar tum talented ho yaar,O
341,Bhai tera kontent :P bakwas hai bro,H
342,Haye maza aagaya dekh kar bhai,O
343,Yaar well done :),O
344,Mashallah tera :) kontent bakwas hy!!! bhai,H
345,MASHALLAH JHOOT BOLTA HAI TU BHAI,H
346,Yaar cool video bro,O
347,Bhai kamal ka effort :) hy :),O
348,Yaar yaar tum talented ho yaar,O
349,Yaar informative :) kontent bhai ok,O
350,ye sab jhoot :) hai bhai,H
351,Mashallah ajeeb bekaar banda! hy,H
352,Haye ajeeb bekaar banda haii bro,H
353,YAAR PROUD OF YOU BRO :) bro,O
354,Mashallah great job bro yaar,O
355,Haye shukriya share karne :) ke :P liye,O
356,MASHALLAH YE SAB JHOOT HEY :),H
357,Mashallah ye sab faltu content haii bro,H
358,tu samjhta :P kya hai!! apne aap ko yaar haha,H
359,Haye tumhara content unique hai,O
360,nalyaak banda :),H
361,tumhaar reply acha laga bhai,O
362,Mashallah bohat mehnat ki hai bhai,O
363,tumhara :) attitude pasand nahi aaya bhai,H
364,WLEL EXPLAINED YAAR,O
365,Haye ye sab faltu content hai :),H
366,Yaar maza aagaya :) dekh kar!!! yaar,O
367,Mashallah sahi!!! kaha tumne yaar,O
368,Aray bhai! tu kuch nhi jaanta haha,H
369,Bhai simple aur samajhne laayk vidiyo bhai,O
370,Yaar shukriiya share karne ke liye yaar bro,O
371,YAAR NALAYAK!! BANDA BRO,H
372,Haye tumhara reply achaah :P laga!! yaar,O
373,tuu!! toh pure time waste hai :),H
374,mujhe ye video pasand aaya bro lol,O
375,BHAI KEEP POSTING BHAI,O
376,Bhai best one on this topic :),O
377,good luck for next projetc yaar,O
378,Yaar tumhara attitude pasand nhai aaya yaar,H
379,MASHALLAH KEEP IT!! UP YAAR,O
380,Aray lajawab explanation :) yaar,O
381,Mashallah itna overacting kyu karta hai yaar,H
382,Haye keep it up!! :),O
383,Aray good initiative bro,O
384,Yaar zyada smart mat ban :),H
385,Bhai tuu toh pure time waste hai bro,H
386,ARAY TERE COMMENTS IRRITATE KARTE HAIN BHAI,H
387,anlayak banda bhai,H
388,Yaar respect :) for your hard work lol,O
389,bohat mehnat ki hai yaar,O
390,ye kya bakwas logic hai yaar,H
391,Bhai ye sab :P jhoot hai :),H
392,tumhara sense of humor best hai :),O
393,Haye keaa faltu insan!!! hai,H
394,mujheee ye video pasand aaya bro,O
395,Bhai tumhara :P reply acha laga bhai,O
396,Bhai bakwas video bro,H
397,Aray appreciate your fefort yaar,O
398,Yaar dil! khush kar diya,O
399,Aray zyada smart mat ban bro,H
400,Haye clear aur easy steps bhai,O
401,Mashallah naiis msesage diya bhai,O
402,Mashallah mujhe yee vidio :) pasand aaya :) bro,O
403,BHAI TUMHARA SENSE OF :) HUMOR BEST HEY YAAR,O
404,Haye samajh :) nahi aaat kya kar raha hai,H
405,Yaar tum jaise log hamesha :) problem banate hain bro,H
406,Mashallah tujhe sharam nhi aati bro,H
407,lajawab explanation :),O
408,Yaar tere comments :) irritate karte hain yaar,H
409,Bhai dimagh kharab kar dia :),H
410,pagal sa behaviour dikha raha hai :),H
411,Haye dimagh ka dahi kar diya :),H
412,tumhara! attitude pasand nahi aaya bhai,H
413,gussa aa gaya video dekh kar :),H
414,Aray keep posting yaar,O
415,Bhai cool video yaar,O
416,Aray cool vidiyo,O
417,BADTAMEEZ AADMI BRO,H
418,Mashallah dimagh ka pressure badha diya video ne,H
419,respect foor your hard work bro,O
420,Aray best one on this topic yaar,O
421,Aray entertaining vidio bhai,O
422,Mashallah mujhe ye video pasand aaya bhai,O
423,Aray excellent work bro yaar,O
424,tera accent :P ajeeb haii bhai,H
425,Bhai aise kaaaam se kuch nahi hota bhai,H
426,GREAT JOB BRO :) YAAR,O
427,Mashallah dimagh kharab kar dia bhai,H
428,fatlu time waste :),H
429,Yaar tum jaise logon ki wajah se internet kharab hai bro,H
430,dimagh ka dahi kar :P diya bro,H
431,helpful for beginners bro,O
432,good initiative bhai,O
433,Aray respect fooor :P your hard work :P yaar,O
434,Yaar boht achaah content hai,O
435,Aray dil khush kar diya bro,O
436,Aray tu pagal hai kia :P,H
437,Aray helpful for beginners :) :),O
438,zabardast editing bhai,O
439,Haye ye sab jhoot hy :),H
440,very clean editing bro,O
441,Aray tumhara content unique hey :),O
442,Aray bilkul useless video :),H
443,Mashallah proud of you bro,O
444,Yaar gussa aa! gaya vidiyo dekh kar yaar,H
445,Haye tere comments :) irritate karte hain bhai,H
446,Haye gussa aa gaya video dekh kar ok,H
447,Yaar kuch!! seekh le pehle yaar,H
448,Bhai good information di bhai,O
449,Mashallah tu toh!!! pure time watse hai yaar,H
450,faltu!!! harkatein band kar yaar,H
451,Yaar very clean editing bhai,O
452,Bhai gussa aa gyaa video dekh kar bro nice,H
453,Aray tumhara sense of :) humor best hai,O
454,Bhai kuch bhi bol deta hai tum :) ok,H
455,Bhai tere jaise log sab bigad dete hain :) haha,H
456,PAGAL SA BEHAVIOUR DIKHA RAHA HAI YAAR,H
457,Aray helpful for!!! beginners :),O
458,Bhai badtameez! aadmi bhai haha,H
459,Yaar great job bro bro,O
460,clear aur easy setps bro,O
461,Yaar tumhara attitude pasand!! nhi aaya :),H
462,Mashallah zabardast editing!,O
463,Yaar tu! pagal hai kia bhai nice,H
464,Yaar kuch bhi bol :) deta hey tu :) lol,H
465,Aray good initiative bhai,O
466,Haye boht achaah content :) hai bhai,O
467,tere jaise log sab bigad dete hain bhai,H
468,Haye veri helpful yaar ok,O
469,Mashallah tum jaise :) logon ki wajah!!! se internet kharab hy :P,H
470,Mashallah ye sab!!! nafrat failata!!! hai :) yaar,H
471,Aray faltu kontent upload karte rehta hey,H
472,Yaar bakwas video :),H
473,Bhai bohat mehnat ki hey bhai,O
474,ajeeb bekaar banda hai :) yaar,H
475,Haye tu :P toh pure time waste hy :),H
476,shukriya share karne ke liye bhai lol,O
477,ARAY DIMAGH KA PRESSURE BADHA DIYA! VIDEO!! NE :),H
478,nice presentation bhai,O
479,Mashallah ajeeb bekaar banda hai bhai,H
480,Yaar zabardast editing bhai,O
481,mujhe ye vidiyo :) pasand! aaya yaar,O
482,Yaar good initiaative :) bro,O
483,Yaar faltu time waste :),H
484,Aray tum jaise log hamesha problem banate hain :),H
485,Bhai bakwaas baatein mat kar yaar,H
486,tumhara reply acha laga,O
487,NICE EXPLANATION YAAR BHAI,O
488,faltu kontent!!! upload karte rehta hey :),H
489,Yaar ghatiya quality yaar,H
490,Yaar kuch bhi bol deta hai tuu,H
491,Bhai ye sab nafrat failata :P haii bhai,H
492,Aray keep posting bro lol,O
493,Bhai nice presentation,O
494,Haye zyada smatr mat ban :),H
495,Bhai great job bro bhai,O
496,Mashallah tum jaise logon ki! wajah se internet :) kharab hy bhai,H
497,Haye excellent work bro yaar,O
498,Mashallah samajh nahi aata keaa kar raha hai yaar haha,H
499,Haye ajeeb bekaar banda hy bro,H
500,Mashallah respect foooor your hard owrk :) :),O
501,Yaar lajawab explanation bhai,O
502,Haye tujhe sharam nahi aati :),H
503,YAAR ACHAAH LAGAAA DEKH :) KAR,O
504,tuu sirf views ke liye kar raha hey bhai,H
505,Bhai very helpful,O
506,BHAI APPRECIATE YOUR EFFORT YAAR bro,O
507,Aray dimagh ka! pressure badha diya video ne yaar,H
508,Yaar itna overacting kyu karta hy bro,H
509,shukriya share karne!! ke liye bhai,O
510,Aray ukch bhi bol!! deta hai tuu nice,H
511,Haye faltu harkatein band :P kar :) nice,H
512,Yaar achaah laga dekh kar bro,O
513,Mashallah jhoot bolta haii tuu :),H
514,Yaar bakwas editing bhai,H
515,Aray samajh nhi aata kyaa kar!!! raha hai yaar,H
516,Aray positive vibes only bro,O
517,Haye bakwaas baatein :) mat kar :),H
518,pagal insaan yaar,H
519,Yaar tumhara kontent unique hy yaar nice,O
520,Yaar aise kaam! se :) kuhc nahin hota,H
521,BHAI INFORMATIVE CONTENT :),O
522,Bhai ganday jokes mat maar bhai,H
523,Mashallah boht acha content haii :),O
524,Aray very clean editing bhai haha,O
525,Bhai itna irritating! content :) lol,H
526,ARAY TU PAGAL HEY KYA!! YAAR haha,H
527,Yaar bohat informative vidiyo hy yaar,O
528,MASHALLAH GHATIYA QUALITY :),H
529,faltu harkatein band kar :P bro,H
530,zyada smart mat ban yaar,H
531,Mashallah shukriya share karne ke lyie yaar,O
532,dimagh kharab kar dia bhai,H
533,Aray boht useful tips di bhai,O
534,Haye dimagh kharab kar dia bro,H
535,Aray bilkul useless video bro,H
536,Mashallah simple aur samajhne layak video bro,O
537,Aray cool video bhai,O
538,Yaar tumhara content inspire karta hai!!! :),O
539,Yaar tu toh pure!! time waste hy bhai,H
540,Mashallah faltu harktaein band kar yaar,H
541,Mashallah jhoot bolta hai tuu bro,H
542,Haye faltu content upload karte rehta hai :),H
543,Yaar pagal insaan yaar,H
544,Yaar kuch!! bhi bol :) deat! hai tu bro,H
545,BHAI KOI SENSE NAHI HEY VIDEO MEIN lol,H
546,Haye nais try :) :),O
547,Haye bhai tu kuch nai jaanta,H
548,BHAI EXCELLENT WORK BRO YAAR bro,O
549,Haye bhai bohot acha video :) haii bro,O
550,Haye ye kyaa bakwas logic hai,H
551,Aray zabardast editing bro nice,O
552,Bhai bhai bahot :) achaah video haii bro,O
553,Aray best one! on this topic yaar,O
554,Aray zyada :) smart mat ban :),H
555,Yaar informative content :) bhai bro,O
556,Yaar positive vibes only!!!,O
557,Haye nice :) explanatino yaar bro,O
558,veri clean editing bro,O
559,Yaar mashallah nice work! yaar,O
560,Bhai pagal sa :) behaviour dikha! raha hai,H
561,Bhai boht accha!! content hey yaar,O
562,Mashallah jhoot bolta :) haii tu yaar,H
563,Bhai informative kontent bro,O
564,Aray kuch bhi bol deta hai tu yaar,H
565,Yaar nice :P message diya yaar,O
566,Haye awaaz irritate karti hai bro,H
567,proud of you bro,O
568,bohat informative vidio hai,O
569,Aray tum jaise log hamesha problem banate hain bro,H
570,Mashallah bohat informative :P video hai bro,O
571,Mashallah faltu time waste,H
572,YAAR TUM JAISE LOGON KI WAJAH SE INTERNET KHARAB HY YAAR,H
573,Haye bakwaas!! baatein mat kar bro,H
574,Aray badtameez aadmi bro,H
575,BHAI SAMAJH NAI AATA KYA KAR RAHA HAI YAAR,H
576,appreciate your :) effort,O
577,Mashallah yaar!!! tumh talented ho bhai,O
578,Yaar gud luck for neext project yaar,O
579,Aray ye kya bakwas logic hai :),H
580,Bhai wow kya baat haii :),O
581,Aray wow kya baat hai bhai,O
582,Haye dimagh ka dahi kar diya,H
583,Haye gr8 energy bro bhai,O
584,Mashallah faltu harkatein band kar yaar,H
585,Haye dimagh ka dahi kar :) diya yaar,H
586,Aray ajeeb!! bekaar banda haii yaar,H
587,Haye excellent!!! wooork bro bhai,O
588,ARAY NAIS!! TRY BHAI,O
589,Aray bakwas editing yaar,H
590,Haye aies kama :) se kuch nahi hota!! bhai,H
591,PROUD OF YOU BRO :),O
592,ye :) sab!! faltu kontent hai bro,H
593,Mashallah helpful! for beginners bhai,O
594,tumhara!!! attitude pasand nhi aaya bro,H
595,Mashallah very :) clean editing bhai,O
596,Aray pagal sa!!! behaviour dikha raha hy bro,H
597,nalayak banda :),H
598,Bhai faltu!! time! waste bro,H
599,Mashallah bilkul useless video :),H
600,great energy bro bhai,O
601,Yaar bro tum kuch nai jaanta bhai,H
602,cool video yaar,O
603,very :) clean editing bhai,O
604,Mashallah maza :) aagaya dekh kar bro,O
605,Aray bilkul useless video yaar,H
606,Mashallah gussa aaa gaya video dekh!!! kar bhai bro,H
607,Mashallah nice explanation yaar bhai,O
608,Aray ye sab jhoot hey bhai,H
609,Yaar superb yaar :),O
610,Mashallah tujhe sharam nhi aati,H
611,Bhai nice message diya :P yaar,O
612,Mashallah clear! aur :P easy steps :) haha,O
613,Haye awesome creativity yaar,O
614,Aray nice message diya bhai,O
615,Yaar boht accha kontent :) hey :),O
616,tuu toh pure!! time waste! hai,H
617,Yaar nais messaeg diya yaar,O
618,Mashallah jhoot bolta hey tum bro,H
619,Aray nais uttorial yaar,O
620,Yaar jhoot bolta haii tum yaar,H
621,Haye bhaiy boht achaa video hai!!! :),O
622,Mashallah bhai tuu kuch nahi jaanta :),H
623,ghatiya quality yaar,H
624,keep posting bhai,O
625,Yaar koi sense!! nai hy vidiyo mein,H
626,Yaar ghatiya quality bhai,H
627,Bhai good luck for next :) project yaar ok,O
628,Yaar dimagh kharab kar dia yaar,H
629,Bhai entertaining video yaar,O
630,Yaar positive vibes only bro,O
631,Aray tere jaise log :) sab bigad!! dete hain,H
632,Mashallah zyada smart mat ban bro nice,H
633,Aray great!!! job bro bhai,O
634,Mashallah awaaz irritate karti hai :),H
635,Yaar wow kya baat hai bhai,O
636,Bhai pagal sa behaviour dikha raha :) hai bro,H
637,tuu sirf views ke liye kar!!! raha hai bro,H
638,Aray pagal sa behaviour dikha raha hey :),H
639,aise kaam se kuch nahi hota bro,H
640,Mashallah itna overacting kyu karta hy bro,H
641,tumhara styleee alag hey :),O
642,Bhai bohat informative video hai bhai,O
643,Mashallah well explained bro,O
644,Aray kya faltu insan hy :),H
645,Mashallah bilkul useless vidiyo :),H
646,Haye ye sab jhoot hai bro,H
647,Haye bohat informative vidiyo hai :) bhai,O
648,Bhai bro bohot acha video hai bhai,O
649,Bhai bohat informative ivdeo hy! yaar,O
650,Bhai faltu time :) waste,H
651,Haye yaar tu bohot :) funny hai :),O
652,Yaar bilkul useless video :),H
653,veri clean editing bhai,O
654,BHAI AISE KAMA SE KUCH NAI!! HOTA!! :),H
